Timestamp, Domain name queried, Resolution mode, DNS server IP contacted, Step of resolution, Response or referral received, Round-trip time to that server, Total time to resolution, Cache status
2025-10-28 17:52:18.321664, 2brightsparks.co.uk., Iterative, 198.41.0.4, Root, Referral with Glue to 213.248.216.1, 222.318 ms, 0.000 ms, MISS
2025-10-28 17:52:18.583322, 2brightsparks.co.uk., Iterative, 213.248.216.1, Authoritative, Failed to Resolve NS IP for ns-343.awsdns-42.com., 208.518 ms, 0.000 ms, MISS
2025-10-28 17:52:18.583610, 2brightsparks.co.uk., Iterative, 213.248.216.1, Failure, NXDOMAIN/Timeout, 430.836 ms, 485.754 ms, FAILED
2025-10-28 17:52:18.908884, 41latitude.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 248.914 ms, 0.000 ms, MISS
2025-10-28 17:52:19.126860, 41latitude.com., Iterative, 192.41.162.30, TLD, Referral with Glue to 156.154.132.200, 217.462 ms, 0.000 ms, MISS
2025-10-28 17:52:19.232556, 41latitude.com., Iterative, 156.154.132.200, TLD, Failed to Resolve NS IP for dns1.registrar-servers.com. hostmaster.registrar-servers.com. 1610729906 43200 3600 604800 3601, 66.717 ms, 0.000 ms, MISS
2025-10-28 17:52:19.233132, 41latitude.com., Iterative, 156.154.132.200, Failure, NXDOMAIN/Timeout, 533.093 ms, 573.682 ms, FAILED
2025-10-28 17:52:19.557341, 7dfps.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 279.866 ms, 0.000 ms, MISS
2025-10-28 17:52:19.753929, 7dfps.com., Iterative, 192.41.162.30, TLD, Referral with Glue to 108.162.194.152, 196.301 ms, 0.000 ms, MISS
2025-10-28 17:52:19.821066, 7dfps.com., Iterative, 108.162.194.152, TLD, A, 66.920 ms, 544.141 ms, MISS
2025-10-28 17:52:20.059159, advertos.ru., Iterative, 198.41.0.4, Root, Referral with Glue to 193.232.128.6, 187.760 ms, 0.000 ms, MISS
2025-10-28 17:52:20.413041, advertos.ru., Iterative, 193.232.128.6, TLD, Failed to Resolve NS IP for dns4.fastdns24.link., 305.631 ms, 0.000 ms, MISS
2025-10-28 17:52:20.413197, advertos.ru., Iterative, 193.232.128.6, Failure, NXDOMAIN/Timeout, 493.391 ms, 542.505 ms, FAILED
2025-10-28 17:52:20.675291, afairjudgement.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 206.938 ms, 0.000 ms, MISS
2025-10-28 17:52:20.879526, afairjudgement.com., Iterative, 192.41.162.30, TLD, Referral with Glue to 108.162.192.116, 203.834 ms, 0.000 ms, MISS
2025-10-28 17:52:20.934501, afairjudgement.com., Iterative, 108.162.192.116, TLD, A, 54.429 ms, 467.206 ms, MISS
2025-10-28 17:52:21.192518, afresnohomeinspector.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 211.612 ms, 0.000 ms, MISS
2025-10-28 17:52:21.797185, afresnohomeinspector.com., Iterative, 192.41.162.30, TLD, Failed to Resolve NS IP for ns1.homeinspectorpro.org., 194.581 ms, 0.000 ms, MISS
2025-10-28 17:52:21.797585, afresnohomeinspector.com., Iterative, 192.41.162.30, Failure, NXDOMAIN/Timeout, 406.193 ms, 817.195 ms, FAILED
2025-10-28 17:52:22.005393, alchemedialtd.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 159.795 ms, 0.000 ms, MISS
2025-10-28 17:52:22.187705, alchemedialtd.com., Iterative, 192.41.162.30, TLD, Referral with Glue to 13.248.158.180, 182.021 ms, 0.000 ms, MISS
2025-10-28 17:52:22.240754, alchemedialtd.com., Iterative, 13.248.158.180, TLD, A, 52.810 ms, 395.841 ms, MISS
2025-10-28 17:52:22.523508, alenpuaca.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 237.735 ms, 0.000 ms, MISS
2025-10-28 17:52:22.731766, alenpuaca.com., Iterative, 192.41.162.30, TLD, Referral with Glue to 162.159.26.14, 207.857 ms, 0.000 ms, MISS
2025-10-28 17:52:23.221556, alenpuaca.com., Iterative, 162.159.26.14, TLD, A, 489.520 ms, 936.332 ms, MISS
2025-10-28 17:52:23.546919, amorefieldlife.com., Iterative, 198.41.0.4, Root, Referral with Glue to 192.41.162.30, 248.643 ms, 0.000 ms, MISS
2025-10-28 17:52:23.843895, amorefieldlife.com., Iterative, 192.41.162.30, TLD, Referral with Glue to 162.159.24.80, 296.573 ms, 0.000 ms, MISS
2025-10-28 17:52:23.898453, amorefieldlife.com., Iterative, 162.159.24.80, TLD, A, 54.219 ms, 600.692 ms, MISS
